dataset,num_hubs,num_bridges,default_nodes,default_edges,processed_nodes,processed_edges,delta_nodes,delta_edges,default_diameter,default_avg_diameter,processed_diameter,processed_avg_diameter,delta_diameter,delta_avg_diameter,default_max_degree,default_avg_degree,processed_max_degree,processed_avg_degree,delta_max_degree,delta_avg_degree,default_density,processed_density,delta_density,default_node2edge_ratio,processed_node2edge_ratio,delta_node2edge_ratio,processed_hubs_bridges_ratio,normalized_hubs_bridges_ratio
ctu-northwind,1,4,13,13,10,11,-3,-2,7,3.15,5,2.36,-2,-0.79,4,2.0,4,2.2,0,0.2,0.08,0.12,0.04,1.0,0.91,-0.09,1.33,0.31
ctu-pima,0,0,9,8,9,8,0,0,2,1.58,2,1.58,0,0.0,8,1.78,8,1.78,0,0.0,0.11,0.11,0.0,1.12,1.12,0.0,,0.0
ctu-premiereleague,1,1,4,5,4,6,0,1,2,1.0,2,1.0,0,0.0,3,2.5,5,3.0,2,0.5,0.42,0.5,0.08,0.8,0.67,-0.13,,0.25
ctu-restbase,0,1,3,3,2,2,-1,-1,1,0.67,1,0.5,0,-0.17,2,2.0,2,2.0,0,0.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,0.33
ctu-sakila,2,7,16,22,14,25,-2,3,7,2.83,5,2.19,-2,-0.64,5,2.93,8,3.85,3,0.91,0.09,0.14,0.05,0.73,0.56,-0.17,3.5,0.44
ctu-sales,1,0,4,3,4,3,0,0,2,1.12,2,1.12,0,0.0,3,1.5,3,1.5,0,0.0,0.25,0.25,0.0,1.33,1.33,0.0,,0.0
ctu-samegen,0,3,4,6,1,3,-3,-3,2,1.12,0,0.0,-2,-1.12,6,3.0,6,6.0,0,3.0,0.5,0.0,-0.5,0.67,0.33,-0.33,1.0,0.75
ctu-sap,0,0,5,3,5,3,0,0,2,1.06,2,1.06,0,0.0,3,1.5,3,1.5,0,0.0,0.15,0.15,0.0,1.67,1.67,0.0,,0.0
ctu-satellite,0,32,36,65,4,33,-32,-32,4,1.9,2,1.12,-2,-0.78,34,3.61,34,16.5,0,12.89,0.05,2.75,2.7,0.55,0.12,-0.43,1.0,0.89
ctu-seznam,0,0,4,3,4,3,0,0,2,1.12,2,1.12,0,0.0,3,1.5,3,1.5,0,0.0,0.25,0.25,0.0,1.33,1.33,0.0,,0.0
ctu-sfscores,0,0,3,2,3,2,0,0,2,0.89,2,0.89,0,0.0,2,1.33,2,1.33,0,0.0,0.33,0.33,0.0,1.5,1.5,0.0,,0.0
ctu-shakespeare,0,1,4,3,3,2,-1,-1,3,1.25,2,0.89,-1,-0.36,2,1.5,2,1.33,0,-0.17,0.25,0.33,0.08,1.33,1.5,0.17,1.0,0.25
ctu-stats,1,4,8,13,4,9,-4,-4,3,1.5,3,1.25,0,-0.25,10,3.25,10,4.5,0,1.25,0.23,0.75,0.52,0.62,0.44,-0.17,1.0,0.5
ctu-studentloan,0,1,10,9,9,8,-1,-1,3,1.76,2,1.58,-1,-0.18,8,1.8,8,1.78,0,-0.02,0.1,0.11,0.01,1.11,1.12,0.01,1.0,0.1
ctu-thrombosis,0,0,3,2,3,2,0,0,2,0.89,2,0.89,0,0.0,2,1.33,2,1.33,0,0.0,0.33,0.33,0.0,1.5,1.5,0.0,,0.0
ctu-toxicology,1,0,4,5,4,5,0,0,2,1.0,2,1.0,0,0.0,3,2.5,3,2.5,0,0.0,0.42,0.42,0.0,0.8,0.8,0.0,,0.0
ctu-tpcc,0,3,9,10,7,9,-2,-1,4,1.98,3,1.55,-1,-0.42,3,2.22,3,2.57,0,0.35,0.14,0.21,0.08,0.9,0.78,-0.12,1.5,0.33
ctu-tpcd,0,1,8,8,7,6,-1,-2,4,1.91,3,1.41,-1,-0.5,3,2.0,3,2.0,0,0.0,0.14,0.14,0.0,1.0,1.17,0.17,1.0,0.12
ctu-tpcds,9,4,24,102,24,106,0,4,4,1.77,4,1.77,0,0.0,22,8.5,30,8.83,8,0.33,0.18,0.19,0.01,0.24,0.23,-0.01,,0.17
ctu-tpch,0,2,8,8,7,8,-1,0,4,1.91,3,1.55,-1,-0.36,3,2.0,3,2.29,0,0.29,0.14,0.19,0.05,1.0,0.88,-0.12,2.0,0.25
ctu-triazine,0,0,2,1,2,1,0,0,1,0.5,1,0.5,0,0.0,1,1.0,1,1.0,0,0.0,0.5,0.5,0.0,2.0,2.0,0.0,,0.0
ctu-uwcse,0,2,4,4,2,2,-2,-2,3,1.25,1,0.5,-2,-0.75,3,2.0,3,2.0,0,0.0,0.33,1.0,0.67,1.0,1.0,0.0,1.0,0.5
ctu-visualgenome,0,2,6,5,4,3,-2,-2,4,1.72,2,1.12,-2,-0.6,3,1.67,3,1.5,0,-0.17,0.17,0.25,0.08,1.2,1.33,0.13,1.0,0.33
ctu-voc,0,0,8,7,8,7,0,0,2,1.53,2,1.53,0,0.0,7,1.75,7,1.75,0,0.0,0.12,0.12,0.0,1.14,1.14,0.0,,0.0
ctu-walmart,0,0,4,3,4,3,0,0,3,1.25,3,1.25,0,0.0,2,1.5,2,1.5,0,0.0,0.25,0.25,0.0,1.33,1.33,0.0,,0.0
ctu-webkp,0,1,3,3,2,2,-1,-1,2,0.89,1,0.5,-1,-0.39,3,2.0,3,2.0,0,0.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,0.33
ctu-world,0,0,3,2,3,2,0,0,2,0.89,2,0.89,0,0.0,2,1.33,2,1.33,0,0.0,0.33,0.33,0.0,1.5,1.5,0.0,,0.0
